Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,# trades,Taker Buy Base,Taker Buy Quote
2022-12-27 04:00:00,243.26,243.82,242.81,243.26,142459.47,2022-12-27 07:59:59,34655813.044,44144,71131.58,17304475.0542
2022-12-27 08:00:00,243.25,243.93,242.07,243.7,185322.0,2022-12-27 11:59:59,45061347.1255,63136,86137.17,20945942.25
2022-12-27 12:00:00,243.69,250.0,242.0,245.01,583290.56,2022-12-27 15:59:59,143095917.75203,157529,300068.45,73633961.06501
2022-12-27 16:00:00,245.01,246.2,243.52,246.1,329659.27,2022-12-27 19:59:59,80756085.379,106248,161096.51,39472178.2252
2022-12-27 20:00:00,246.12,246.87,244.83,246.52,160446.73,2022-12-27 23:59:59,39446738.9101,60203,83542.27,20541594.2701
2022-12-28 00:00:00,246.53,247.37,244.24,244.59,328719.91,2022-12-28 03:59:59,80756680.457,100078,160865.04,39525704.9971
2022-12-28 04:00:00,244.58,245.09,241.28,243.16,359056.12,2022-12-28 07:59:59,87274167.81815,115389,172654.01,41971310.4837
2022-12-28 08:00:00,243.17,244.0,242.61,243.58,166306.87,2022-12-28 11:59:59,40473770.728,64762,83322.01,20280855.9851
2022-12-28 12:00:00,243.58,245.35,241.81,242.1,406473.85,2022-12-28 15:59:59,99000089.7885,123478,198732.42,48419457.0601
2022-12-28 16:00:00,242.09,244.96,241.66,243.11,233292.23,2022-12-28 19:59:59,56793209.5242,77315,124240.86,30247699.1243
2022-12-28 20:00:00,243.1,244.47,241.89,244.42,214864.95,2022-12-28 23:59:59,52227482.4401,72158,106910.17,25995327.4374
2022-12-29 00:00:00,244.42,245.94,243.14,245.1,305554.01,2022-12-29 03:59:59,74739912.7939,94831,159848.23,39106124.9529
2022-12-29 04:00:00,245.09,245.64,244.2,244.72,134390.59,2022-12-29 07:59:59,32909772.4273,49447,67773.27,16596989.5884
2022-12-29 08:00:00,244.72,246.81,244.06,245.71,237729.96,2022-12-29 11:59:59,58397463.13202,74112,127653.11,31360770.60402
2022-12-29 12:00:00,245.71,246.3,245.2,246.04,215609.51,2022-12-29 15:59:59,53008842.1431,66060,108170.42,26597208.2466
2022-12-29 16:00:00,246.04,246.75,245.22,246.03,190605.46,2022-12-29 19:59:59,46885944.171,58014,96113.65,23643687.707
2022-12-29 20:00:00,246.04,246.78,244.46,246.12,244749.04,2022-12-29 23:59:59,60097760.0712,74376,125414.73,30797458.3796
2022-12-30 00:00:00,246.13,246.54,244.75,245.21,154822.38,2022-12-30 03:59:59,38024795.5031,48507,72270.24,17749605.4546
2022-12-30 04:00:00,245.2,245.71,242.53,243.26,236216.0,2022-12-30 07:59:59,57628094.85165,69193,116051.65,28314261.3035
2022-12-30 08:00:00,243.26,244.46,243.13,243.32,162771.16,2022-12-30 11:59:59,39666342.5879,50293,78790.37,19203195.0297
2022-12-30 12:00:00,243.33,245.82,242.95,245.19,286306.13,2022-12-30 15:59:59,69921447.3079,79208,150721.4,36815480.1684
2022-12-30 16:00:00,245.19,245.48,244.05,244.53,126257.5,2022-12-30 19:59:59,30920592.9626,41729,60359.81,14784839.4289
2022-12-30 20:00:00,244.53,246.21,244.52,245.74,142151.29,2022-12-30 23:59:59,34883742.3611,40420,76969.23,18888847.1955
2022-12-31 00:00:00,245.73,245.99,245.05,245.21,98379.36,2022-12-31 03:59:59,24156924.7843,32708,48892.77,12006022.376
2022-12-31 04:00:00,245.21,245.78,244.73,245.49,105342.21,2022-12-31 07:59:59,25835951.4827,31267,51839.01,12714234.2926
2022-12-31 08:00:00,245.5,246.33,245.14,245.55,145723.46,2022-12-31 11:59:59,35807828.3997,39666,73683.75,18107195.4543
2022-12-31 12:00:00,245.55,248.0,245.16,246.84,264277.2,2022-12-31 15:59:59,65206386.78952,73996,140149.34,34585025.30012
2022-12-31 16:00:00,246.83,247.22,246.01,246.79,85295.58,2022-12-31 19:59:59,21035451.5955,32155,40738.22,10047037.5595
2022-12-31 20:00:00,246.79,247.35,245.56,246.11,122782.82,2022-12-31 23:59:59,30274930.7078,37598,53907.9,13295902.0188
2023-01-01 00:00:00,246.11,246.59,245.02,245.15,134567.62,2023-01-01 03:59:59,33047271.4073,41189,63606.45,15620749.2854
2023-01-01 04:00:00,245.15,245.22,243.3,243.91,200595.63,2023-01-01 07:59:59,48953707.8587,57747,95483.75,23299936.0889
2023-01-01 08:00:00,243.91,244.54,243.25,244.3,108323.71,2023-01-01 11:59:59,26424875.9775,36092,56499.46,13783589.4911
2023-01-01 12:00:00,244.3,244.67,243.84,244.48,97477.87,2023-01-01 15:59:59,23802929.6531,33146,48654.94,11880682.9693
2023-01-01 16:00:00,244.49,245.65,244.26,245.13,138935.4,2023-01-01 19:59:59,34049441.135,43507,71794.89,17594469.9904
2023-01-01 20:00:00,245.13,245.81,243.54,244.36,113253.15,2023-01-01 23:59:59,27707357.2476,34745,53346.21,13052879.1941
2023-01-02 00:00:00,244.35,244.48,240.4,243.67,370901.7,2023-01-02 03:59:59,89894423.45945,93449,170090.24,41229926.3067
2023-01-02 04:00:00,243.67,247.0,242.82,246.26,347330.36,2023-01-02 07:59:59,85152945.65152,93253,186673.33,45773990.41762
2023-01-02 08:00:00,246.26,247.88,246.06,246.72,307291.74,2023-01-02 11:59:59,75892386.462,81592,151337.34,37380910.7074
2023-01-02 12:00:00,246.73,247.47,245.84,246.85,195456.78,2023-01-02 15:59:59,48206165.5377,54423,99785.86,24613828.7969
2023-01-02 16:00:00,246.84,247.05,246.04,246.5,98030.39,2023-01-02 19:59:59,24161062.7801,32862,47887.94,11803204.0559
2023-01-02 20:00:00,246.51,247.73,244.95,245.07,157124.09,2023-01-02 23:59:59,38707346.2148,52208,75014.56,18487592.4346
2023-01-03 00:00:00,245.06,245.97,244.63,245.71,128580.27,2023-01-03 03:59:59,31541032.5914,44698,62196.12,15256387.9414
2023-01-03 04:00:00,245.72,246.9,245.1,246.14,140522.55,2023-01-03 07:59:59,34575770.7688,43885,73658.78,18123793.6536
2023-01-03 08:00:00,246.14,246.49,245.2,245.48,154078.47,2023-01-03 11:59:59,37877958.9494,44345,77382.66,19024295.6402
2023-01-03 12:00:00,245.47,246.26,244.02,245.28,269727.86,2023-01-03 15:59:59,66144229.5001,74372,127566.18,31286405.8761
2023-01-03 16:00:00,245.27,245.84,244.3,245.19,135234.23,2023-01-03 19:59:59,33134828.0201,46721,66681.86,16339650.9191
2023-01-03 20:00:00,245.18,246.19,245.03,245.97,89475.95,2023-01-03 23:59:59,21980215.4922,33325,47592.94,11691749.6412
2023-01-04 00:00:00,245.97,258.71,245.47,257.02,832935.9,2023-01-04 03:59:59,210264787.64238,222141,466814.52,117729495.12598
2023-01-04 04:00:00,257.02,257.27,253.59,255.03,327577.58,2023-01-04 07:59:59,83595984.1217,88770,162330.99,41424426.165
2023-01-04 08:00:00,255.02,256.14,253.86,254.75,186170.08,2023-01-04 11:59:59,47443139.6541,58409,91658.7,23361162.853
2023-01-04 12:00:00,254.75,257.3,253.78,256.83,271115.56,2023-01-04 15:59:59,69247820.6213,85800,136614.46,34902297.867
2023-01-04 16:00:00,256.84,260.9,255.82,257.53,753068.08,2023-01-04 19:59:59,194830059.51483,214325,382385.12,98936826.6758
2023-01-04 20:00:00,257.54,259.15,254.7,258.54,230975.37,2023-01-04 23:59:59,59342859.0558,78241,118027.41,30325741.7189
2023-01-05 00:00:00,258.55,258.87,256.64,257.57,150387.46,2023-01-05 03:59:59,38763714.2171,53298,72962.29,18805654.1657
2023-01-05 04:00:00,257.57,258.9,256.24,257.36,142047.22,2023-01-05 07:59:59,36608126.3262,53461,68417.84,17634461.7162
2023-01-05 08:00:00,257.36,257.5,255.29,256.92,177764.25,2023-01-05 11:59:59,45597135.7754,57326,90331.66,23171659.7896
2023-01-05 12:00:00,256.91,258.0,255.0,256.54,284318.72,2023-01-05 15:59:59,72913476.8919,87177,143414.21,36781744.2836
2023-01-05 16:00:00,256.55,258.22,255.93,257.5,135773.11,2023-01-05 19:59:59,34869955.1482,49203,67290.05,17282785.0749
2023-01-05 20:00:00,257.5,257.93,255.59,256.44,126682.08,2023-01-05 23:59:59,32527886.7584,44488,61759.55,15859052.1814
2023-01-06 00:00:00,256.43,258.66,255.84,257.57,222623.88,2023-01-06 03:59:59,57345160.205,68350,116105.98,29908106.9765
2023-01-06 04:00:00,257.57,257.9,255.1,256.19,189627.19,2023-01-06 07:59:59,48603871.4691,65934,93606.75,23990678.7136
2023-01-06 08:00:00,256.19,257.06,255.17,256.23,227567.89,2023-01-06 11:59:59,58323177.5256,70510,116266.62,29799636.942
2023-01-06 12:00:00,256.23,259.7,253.95,258.88,504219.45,2023-01-06 15:59:59,129255688.9235,152977,265139.54,68001948.5109
